what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229617754
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1423229620910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1423229625473
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423229625481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229629767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229660321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229662232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229711839
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229714957
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229715011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229740339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229741102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229741705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229766102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229872412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229890544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229911489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423229984076
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423229986233
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229988301
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423229994099
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229994343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423229994406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230000681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230002010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230004430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230008116
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230011070
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230011313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230014394
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230046221
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230047272
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230050359
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230050592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1423230053817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230061331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1423230065569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230067678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230077080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230078180
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230096757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230098567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230114875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230139852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230143987
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230145711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230166372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230167934
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1423230213129
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1423230213153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230267534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230268814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230277993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423230278000
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230278116
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230282885
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230283117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230292241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230293155
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230297763
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230297995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230299298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230329463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230341769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230359763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230366495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230399803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230406422
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230420572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423230420582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230420751
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230428160
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423230428256
closed,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423230428268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230442044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230442898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230467461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230468731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230493589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230494440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230518137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230519976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230534356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230537097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230539916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230542777
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230547358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423230547367
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230547479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230548898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230584257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230600067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230601184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230617215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230618692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230621121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230627728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230631713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230633409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230636188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230637585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230644372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230650457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230653319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230659804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230663464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230665990
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230669841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423230669849
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423230669974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230677830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230685689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230697698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230716423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230780614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230783965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423230787167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423230810921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230815716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230817164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230819605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230820240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230828767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230923939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230930878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423230943581
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1423230997378
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1423230997420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1423230997428
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1423231006762
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1423231006827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231011065
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423231012204
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423231012749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231015942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231029248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231033716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231041841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231044147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231060943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231067221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231075471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231077236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231098960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231100754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231108298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231111555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231118761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231120345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231125440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231126961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231128856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231130803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231139441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231140856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231200388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231244419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231284395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231285663
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231291054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231292316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231298026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231306103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231321557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231323966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231330461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231335113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231354219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231358194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231406030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231409859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231435060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231441396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231460306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231466405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423231480359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423231481516
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423231487787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423231487795
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423231487969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231495096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231495715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231498527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231499590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231514381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231519344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231521132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231527501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231551591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231572591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231573029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231574833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231575838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231623233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423231633741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423231633750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423231633915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231636963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231669325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231672042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231745165
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1423231749138
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423231762483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423231770395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423232782503
